"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 29 09:05:38 UTC 2025","Wed Oct 29 09:06:00 UTC 2025","21413","","Admin Management","","AdminTests","CreateJobTitle","CreateJobTitle",""
"passed","Wed Oct 29 09:06:00 UTC 2025","Wed Oct 29 09:06:15 UTC 2025","15527","","Admin Management","","AdminTests","CreateLocation","CreateLocation",""
"passed","Wed Oct 29 09:05:38 UTC 2025","Wed Oct 29 09:05:55 UTC 2025","16951","","PIM Management","","EmployeeTests","CreateEmployee","CreateEmployee",""
"passed","Wed Oct 29 09:05:38 UTC 2025","Wed Oct 29 09:06:05 UTC 2025","26883","","Recruitment Management","","RecruitmentTests","DeleteCandidate","DeleteCandidate",""
"passed","Wed Oct 29 09:05:38 UTC 2025","Wed Oct 29 09:05:56 UTC 2025","17882","","Recruitment Management","","RecruitmentTests","CreateCandidate","CreateCandidate",""
"passed","Wed Oct 29 09:05:38 UTC 2025","Wed Oct 29 09:06:03 UTC 2025","24335","","PIM Management","","EmployeeTests","CancelEmployeeDeletion","CancelEmployeeDeletion",""
"passed","Wed Oct 29 09:05:55 UTC 2025","Wed Oct 29 09:06:25 UTC 2025","30176","","Recruitment Management","","RecruitmentTests","SearchCandidateByKeywords","SearchCandidateByKeywords",""
"passed","Wed Oct 29 09:05:56 UTC 2025","Wed Oct 29 09:06:16 UTC 2025","19429","","PIM Management","","EmployeeTests","EditEmployeeContactDetails","EditEmployeeContactDetails",""
"passed","Wed Oct 29 09:05:38 UTC 2025","Wed Oct 29 09:06:06 UTC 2025","27270","","PIM Management","","EmployeeTests","DeleteEmployee","DeleteEmployee",""
"passed","Wed Oct 29 09:06:03 UTC 2025","Wed Oct 29 09:06:29 UTC 2025","26729","","Admin Management","","AdminTests","DeleteLocation","DeleteLocation",""
